,Project Number,Contractor
56965,67744,Direct Energy Solar (formerly Astrum)
56966,5400-98002,SunPower Capital LLC
56967,5229-82693,Halco Renewable Energy (dba for Halcyon)
56968,5171-61281,1st Light Energy
56969,5104-43794,SunRun Inc.
56970,5209-79195YY,SunRun Inc.
56971,5138-55283,Sungevity Inc
56972,02030-023,Hudson Valley Clean Energy
56973,5297-75159,SunPower Capital LLC
56974,65949,"Empire Solar Solutions, LLC"
56975,5137-80671,Sungevity Development LLC
56976,5155-60852,Patriot Energy Solutions Corp.
56977,5293-97076,Direct Energy Solar (formerly Astrum)
56978,5137-50270,Sungevity Development LLC
56979,5273-91181,"Green Street Power Partners, LLC"
56980,5098-91163,NRG Residential Solar Solutions
56981,5098-89702,NRG Residential Solar Solutions
56982,5160-100075,Vivint Solar Development LLC
56983,5165-68204,SunPower Capital LLC
56984,5159-62610,Level Solar
56985,5098-84700,NRG Residential Solar Solutions
56986,5293-96318,Direct Energy Solar (formerly Astrum)
56987,5411-99226,SunPower Capital LLC
56988,5245-93884,"OneRoof Energy NY, LLC"
56989,5178-49265,KPS Solar Inc
56990,5138-46131,Sungevity Inc
56991,02003-062,"Renewable Power Systems, LLC"
56992,02056-062,ISI Solar
56993,5173-62648,SunRun Inc.
56994,5293-59990-GJ,Direct Energy Solar (formerly Astrum)
56995,5160-70370,Vivint Solar Development LLC
56996,66050,SunRun Inc.
56997,5347-99859,SunRun Inc.
56998,5293-98871,Direct Energy Solar (formerly Astrum)
56999,5297-69378,SunPower Capital LLC
57000,5297-83272,SunPower Capital LLC
57001,5321-96362,Long Island Power Solutions
57002,5292-49187,SunPower Capital LLC
57003,5171-56139,1st Light Energy
57004,02030-003,Hudson Valley Clean Energy
57005,5114-48323,Sunnova Energy Corp.
57006,5137-52868,Sungevity Development LLC
57007,5292-57711,SunPower Capital LLC
57008,5122-100238,Kasselman Solar LLC
57009,5336-79127,Kasselman Solar LLC
57010,5100-78269,Posigen New York LLC
57011,5137-101261,Sungevity Development LLC
57012,5245-98408,"OneRoof Energy NY, LLC"
57013,02095-020,"Solar Energy Systems, Inc."
57014,5292-54346,SunPower Capital LLC
57015,5171-100501,1st Light Energy
57016,5104-42486,SunRun Inc.
57017,5292-65077,SunPower Capital LLC
57018,5181-65984-GJ,Grid City Electric Corp
57019,5292-36866,SunPower Capital LLC
57020,5098-91347,NRG Residential Solar Solutions
57021,02006-053,"ETM Solar Works, Inc."
57022,65745,Lighthouse Solar (dba for Sun Source Technologies)
57023,5171-101736,1st Light Energy
57024,02033-036,"Renovus Energy, Inc"
57025,5138-99939,Sungevity Inc
57026,5122-67618,Kasselman Solar LLC
57027,5293-61928-GJ,Direct Energy Solar (formerly Astrum)
57028,5165-52330,SunPower Capital LLC
57029,02054-005,AY Solar
57030,5292-59883,SunPower Capital LLC
57031,5181-68107-GJ,Grid City Electric Corp
57032,02011-020,Triangle Electrical Systems
57033,5138-48331,Sungevity Inc
57034,5159-58790,Level Solar
57035,5153-64956,SunRun Inc.
57036,65596,1st Light Energy
57037,5159-50031,Level Solar
57038,5098-93373,NRG Residential Solar Solutions
57039,5100-86139,Posigen New York LLC
57040,5156-56231,Long Island Power Solutions
57041,5122-92736,Kasselman Solar LLC
57042,5165-55996,SunPower Capital LLC
57043,5153-59643,SunRun Inc.
57044,5105-57726,Kilowatt Systems LLC
57045,5149-93206-GJ,INNOVATED ENERGY SOLUTIONS
57046,67872,Triangle Electrical Systems
57047,5153-50734,SunRun Inc.
57048,67661,SunRun Inc.
57049,5293-84783-GJ,Direct Energy Solar (formerly Astrum)
57050,5347-78385,SunRun Inc.
57051,5171-70192,1st Light Energy
57052,5274-88384,SunRun Inc.
57053,5160-72889,Vivint Solar Development LLC
57054,5401-98344,"Safari Energy, LLC"
57055,5138-65782,Sungevity Inc
57056,5159-66509,Level Solar
57057,02030-013,Hudson Valley Clean Energy
57058,5209-89393YY,SunRun Inc.
57059,68627,"SuNation Solar Systems, Inc."
57060,5171-68339,1st Light Energy
57061,5196-59347,"Solar Project Solutions, Inc"
57062,5159-102681,Level Solar
57063,5170-81578,R & B Quality Electric
57064,5159-84222,Level Solar
57065,5336-76210,Kasselman Solar LLC
57066,5159-81611,Level Solar
57067,5293-69051-GJ,Direct Energy Solar (formerly Astrum)
57068,5411-102692,SunPower Capital LLC
57069,02018-013,"Finger Lakes Renewable Energy, LLC"
57070,69001,"EmPower CES, LLC"
57071,5137-45886,Sungevity Development LLC
57072,5297-81787,SunPower Capital LLC
57073,5195-76184,Downstream Construction
57074,5137-51707,Sungevity Development LLC
57075,5153-82113,SunRun Inc.
57076,5105-46547,Kilowatt Systems LLC
57077,33561-1,Safari Energy LLC
57078,5326-97409,"Buffalo Solar Solutions, Inc."
57079,5105-62297,Kilowatt Systems LLC
57080,5098-85495,NRG Residential Solar Solutions
57081,66121,Vivint Solar Development LLC
57082,5159-72044,Level Solar
57083,5166-47844,SunRun Inc.
57084,02094-003,The Solar Center
57085,5438-101254,Vivint Solar Development LLC
57086,02061-006,Hudson Valley Clean Energy
57087,02012-012,"Prime Energy Solutions, Inc."
57088,67939,SunRun Inc.
57089,5098-82981,NRG Residential Solar Solutions
57090,5352-97659,Halco Renewable Energy (dba for Halcyon)
57091,5230-89486-GJ,Green Logic LLC
57092,02086-013,"Global Resources Options, Inc."
57093,5159-102304,Level Solar
57094,02014-009,"Solar Energy Systems, Inc."
57095,5105-49566,Kilowatt Systems LLC
57096,5209-75314,SunRun Inc.
57097,5194-70542-GJ,GreenLeaf Solar
57098,02005-031,"Global Resources Options, Inc."
57099,5245-97941,"OneRoof Energy NY, LLC"
57100,5159-61474,Level Solar
57101,5105-52549,Kilowatt Systems LLC
57102,5401-41197,"Safari Energy, LLC"
57103,5129-45664-GJ,"OnForce Solar, Inc."
57104,02033-003,"Renovus Energy, Inc"
57105,5159-101068,Level Solar
57106,02030-064,Hudson Valley Clean Energy
57107,68462,Tesla Energy Operations Inc.
57108,68125,SunPower Capital LLC
57109,5137-73646,Sungevity Development LLC
57110,02018-003,"Finger Lakes Renewable Energy, LLC"
57111,5200-55767,National Energy Connection
57112,5105-56136,Kilowatt Systems LLC
57113,37893A-1,"Solar Power Company, LLC"
57114,5247-59945,"Renovus Energy, Inc"
57115,5377-54549,AEC Energy Corp./American Energy Care
57116,5293-64943-GJ,Direct Energy Solar (formerly Astrum)
57117,5121-79968,"Geo of Camden, LLC (Camden Renewable Energy Systems)"
57118,5171-59863,1st Light Energy
57119,02030-062-1,Hudson Valley Clean Energy
57120,5098-89148,NRG Residential Solar Solutions
57121,5104-42449,SunRun Inc.
57122,5292-45794,SunPower Capital LLC
57123,5295-90515,"ForeFront Power, LLC"
57124,5122-92696,Kasselman Solar LLC
57125,5178-63266-GJ,KPS Solar Inc
57126,5241-100395,GreenSpark Solar (dba for Sustainable Energy Developments)
57127,5245-97510,"OneRoof Energy NY, LLC"
57128,5321-0092-Financing,Long Island Power Solutions
57129,5209-78081YY,SunRun Inc.
57130,02030-121,Hudson Valley Clean Energy
57131,02030-090,Hudson Valley Clean Energy
57132,5438-102644,Vivint Solar Development LLC
57133,5159-61400,Level Solar
57134,5293-94115,Direct Energy Solar (formerly Astrum)
57135,5159-102287,Level Solar
57136,5170-80270,R & B Quality Electric
57137,02061-096,Hudson Valley Clean Energy
57138,68382,Vivint Solar Development LLC
57139,5194-62742-GJ,GreenLeaf Solar
57140,5293-82654,Direct Energy Solar (formerly Astrum)
57141,5181-96304YY GJ,Grid City Electric Corp
57142,5159-78667,Level Solar
57143,5138-56496-GJ,Sungevity Inc
57144,5347-91786,SunRun Inc.
57145,02159-004,"Solar Works, Inc."
57146,5352-76629-GJ,Halco Renewable Energy (dba for Halcyon)
57147,5209-71410,SunRun Inc.
57148,5373-99954,"Empire Solar Solutions, LLC"
57149,5105-60851,Kilowatt Systems LLC
57150,5293-73613-GJ,Direct Energy Solar (formerly Astrum)
57151,5098-83299,NRG Residential Solar Solutions
57152,02011-035,Triangle Electrical Systems
57153,5209-75302YY-IRH,SunRun Inc.
57154,5115-44876-GJ,Green Hybrid Energy Solutions
57155,5159-69278,Level Solar
57156,10748,SunPower Capital LLC
57157,33519A-1,"WGL Energy Systems, Inc."
57158,5165-60251,SunPower Capital LLC
57159,5170-89069,R & B Quality Electric
57160,5104-46702,SunRun Inc.
57161,5098-83773,NRG Residential Solar Solutions
57162,5137-50612,Sungevity Development LLC
57163,51525,Level Solar
57164,5098-92826,NRG Residential Solar Solutions
57165,5159-72050,Level Solar
57166,5165-49292,SunPower Capital LLC
57167,5159-89593,Level Solar
57168,02019-008,
57169,5105-56506,Kilowatt Systems LLC
57170,5114-59096,Sunnova Energy Corp.
57171,5293-85864,Direct Energy Solar (formerly Astrum)
57172,5156-63707-GJ,Long Island Power Solutions
57173,5181-82271-GJ,Grid City Electric Corp
57174,5165-69713,SunPower Capital LLC
57175,5105-43791,Kilowatt Systems LLC
57176,68847,Tesla Energy Operations Inc.
57177,5142-59415-GJ,HORIZON SOLAR LLC
57178,5293-58399,Direct Energy Solar (formerly Astrum)
57179,5098-87020,NRG Residential Solar Solutions
57180,5171-92423,1st Light Energy
57181,5159-63808,Level Solar
57182,5100-59338,Posigen New York LLC
57183,5194-50937,GreenLeaf Solar
57184,5122-55638,Kasselman Solar LLC
57185,5105-58016,Kilowatt Systems LLC
57186,5159-82191,Level Solar
57187,49524,
57188,02061-037,Hudson Valley Clean Energy
57189,5159-65228,Level Solar
57190,5104-42461,SunRun Inc.
57191,02003-003,"Renewable Power Systems, LLC"
57192,5225-70121,Franzoso Energy Solutions
57193,5245-97551,"OneRoof Energy NY, LLC"
57194,5241-95925,GreenSpark Solar (dba for Sustainable Energy Developments)
57195,5138-98542,Sungevity Inc
57196,5098-89054,NRG Residential Solar Solutions
57197,5379-99231,SunPower Capital LLC
57198,5293-67905-GJ,Direct Energy Solar (formerly Astrum)
57199,31279-1,Tesla Energy Operations Inc
57200,02005-048,"Global Resources Options, Inc."
57201,5105-48085,Kilowatt Systems LLC
57202,5292-54165,SunPower Capital LLC
57203,02030-157,Hudson Valley Clean Energy
57204,02001-045,"Great Brook Solar NRG, LLC"
57205,5137-92435,Sungevity Development LLC
57206,5159-94817,Level Solar
57207,5138-77163,Sungevity Inc
57208,5330-92250,"Brooklyn SolarWorks, LLC"
57209,5098-87366,NRG Residential Solar Solutions
57210,02056-043,ISI Solar
57211,5159-78696,Level Solar
57212,5153-60275,SunRun Inc.
57213,5234-71454,"D. A. Goudreau, Inc."
57214,5247-91886,"Renovus Energy, Inc"
57215,5411-98884,SunPower Capital LLC
57216,68864,"EmPower CES, LLC"
57217,5149-52575-GJ,INNOVATED ENERGY SOLUTIONS
57218,5171-63637,1st Light Energy
57219,5321-90352,Long Island Power Solutions
57220,5281-99008,"BQ Energy, Inc."
57221,49850A-1,
57222,5159-71175,Level Solar
57223,5321-67724,Long Island Power Solutions
57224,5156-62782,Long Island Power Solutions
57225,5153-85826,SunRun Inc.
57226,5122-101107,Kasselman Solar LLC
57227,02005-065,"Global Resources Options, Inc."
57228,5098-84670,NRG Residential Solar Solutions
57229,67735,Tesla Energy Operations Inc.
57230,5247-60102-GJ,"Renovus Energy, Inc"
57231,5114-56004,Sunnova Energy Corp.
57232,5293-87253,Direct Energy Solar (formerly Astrum)
57233,23505-9,"Ross Solar Group, LLC"
57234,5245-97331,"OneRoof Energy NY, LLC"
57235,5293-80945,Direct Energy Solar (formerly Astrum)
57236,5155-88239,Patriot Energy Solutions Corp.
57237,5171-60454,1st Light Energy
57238,5268-83703,"Bouille Electric, Inc."
57239,5159-66559,Level Solar
57240,5171-94663,1st Light Energy
57241,5293-68869-GJ,Direct Energy Solar (formerly Astrum)
57242,5347-99386,SunRun Inc.
57243,5138-89031,Sungevity Inc
57244,5137-65675,Sungevity Development LLC
57245,5159-59580,Level Solar
57246,5159-90778,Level Solar
57247,5138-52353,Sungevity Inc
57248,5098-86163,NRG Residential Solar Solutions
57249,5293-57302-GJ,Direct Energy Solar (formerly Astrum)
57250,5321-72102,Long Island Power Solutions
57251,5171-56141,1st Light Energy
57252,5293-90890-GJ,Direct Energy Solar (formerly Astrum)
57253,5159-46608,Level Solar
57254,5137-44792,Sungevity Development LLC
57255,69063,Tesla Energy Operations Inc.
57256,02061-062,Hudson Valley Clean Energy
57257,5407-88822,"Bright Power, Inc."
57258,5128-79894,"Sundog Solar, Inc."
57259,66078,SunBlue Energy (dba for Florenton River LLC)
57260,5173-71025,SunRun Inc.
57261,5159-77705,Level Solar
57262,5171-54476,1st Light Energy
57263,5293-88172,Direct Energy Solar (formerly Astrum)
57264,5118-40771,Sungevity Development LLC
57265,5293-93062,Direct Energy Solar (formerly Astrum)
57266,68276,"SuNation Solar Systems, Inc."
57267,5352-87246,Halco Renewable Energy (dba for Halcyon)
57268,67994,Vivint Solar Development LLC
57269,5156-55186,Long Island Power Solutions
57270,02061-086,Hudson Valley Clean Energy
57271,5155-58586,Patriot Energy Solutions Corp.
57272,5408-98157,Generate Capital
57273,5411-100902,SunPower Capital LLC
57274,02001-022,"Great Brook Solar NRG, LLC"
57275,5159-63802,Level Solar
57276,5098-87053,NRG Residential Solar Solutions
57277,5122-62486,Kasselman Solar LLC
57278,5336-101244,Kasselman Solar LLC
57279,5297-101619,SunPower Capital LLC
57280,5229-66742,Halco Renewable Energy (dba for Halcyon)
57281,69106,CIR Electrical Construction Corp.
57282,5425-98898,Kilowatt Systems LLC
57283,5159-66973,Level Solar
57284,5098-89484,NRG Residential Solar Solutions
57285,5137-49051,Sungevity Development LLC
57286,68777,National Energy Connection
57287,5122-71460,Kasselman Solar LLC
57288,5159-68621,Level Solar
57289,5105-61570,Kilowatt Systems LLC
57290,68230,SI Solar (dba for Ficazzola Consulting)
57291,5098-83345,NRG Residential Solar Solutions
57292,5138-86214,Sungevity Inc
57293,5098-87301,NRG Residential Solar Solutions
57294,5159-95956,Level Solar
57295,5292-65566,SunPower Capital LLC
57296,5105-57569,Kilowatt Systems LLC
57297,68540,SunPower Capital LLC
57298,5124-67972,"Steed Energy, LLC"
57299,5140-77037-GJ,BUILT WELL SOLAR CORP
57300,5330-76087,"Brooklyn SolarWorks, LLC"
57301,5159-66995,Level Solar
57302,5377-92304,AEC Energy Corp./American Energy Care
57303,68122,Kasselman Solar LLC
57304,5159-97296,Level Solar
57305,5293-75539-GJ,Direct Energy Solar (formerly Astrum)
57306,5159-68830,Level Solar
57307,5159-81636,Level Solar
57308,5159-70093,Level Solar
57309,5245-98622,"OneRoof Energy NY, LLC"
57310,5159-93205,Level Solar
57311,02056-017,ISI Solar
57312,5153-75323,SunRun Inc.
57313,5153-68964,SunRun Inc.
57314,51580,Tesla Energy Operations Inc.
57315,5098-83621,NRG Residential Solar Solutions
57316,5292-59126,SunPower Capital LLC
57317,5159-67215,Level Solar
57318,5292-57190,SunPower Capital LLC
57319,5165-100349,SunPower Capital LLC
57320,5122-88900,Kasselman Solar LLC
57321,5273-85474,"Green Street Power Partners, LLC"
57322,5293-94891,Direct Energy Solar (formerly Astrum)
57323,5171-101066,1st Light Energy
57324,5122-63699,Kasselman Solar LLC
57325,5218-76081,"Accord Power, Inc."
57326,5138-65287,Sungevity Inc
57327,5159-80308,Level Solar
57328,5397-72872,Posigen New York LLC
57329,68741,"Paradise Energy Solutions, LLC"
57330,5142-76407,HORIZON SOLAR LLC
57331,02094-032,The Solar Center
57332,5411-102273,SunPower Capital LLC
57333,5159-95957,Level Solar
57334,5293-59776,Direct Energy Solar (formerly Astrum)
57335,5159-64347,Level Solar
57336,5159-70100,Level Solar
57337,5137-51155,Sungevity Development LLC
57338,68693,Vivint Solar Development LLC
57339,02018-045,"Finger Lakes Renewable Energy, LLC"
57340,5247-93500,"Renovus Energy, Inc"
57341,5293-67379-GJ,Direct Energy Solar (formerly Astrum)
57342,5336-90711,Kasselman Solar LLC
57343,5156-60166-GJ,Long Island Power Solutions
57344,5200-53225,National Energy Connection
57345,02022-015-1,Mercury Solar
57346,5137-68705,Sungevity Development LLC
57347,5105-47040,Kilowatt Systems LLC
57348,5245-97169,"OneRoof Energy NY, LLC"
57349,5293-81938,Direct Energy Solar (formerly Astrum)
57350,5293-42101-GJ,Direct Energy Solar (formerly Astrum)
57351,5326-80826,"Buffalo Solar Solutions, Inc."
57352,5170-86566,R & B Quality Electric
57353,02030-046,Hudson Valley Clean Energy
57354,5247-99937,"Renovus Energy, Inc"
57355,5245-97614,"OneRoof Energy NY, LLC"
57356,5098-86919,NRG Residential Solar Solutions
57357,02006-003,"ETM Solar Works, Inc."
57358,5105-51477,Kilowatt Systems LLC
57359,5159-63392,Level Solar
57360,5247-97683,"Renovus Energy, Inc"
57361,5194-63952-GJ,GreenLeaf Solar
57362,5209-75296YY,SunRun Inc.
57363,5159-90829,Level Solar
57364,5144-95972,"Solar Dad & Sons, Inc."
57365,5159-50831,Level Solar
57366,5247-72152,"Renovus Energy, Inc"
57367,5144-73481,"Solar Dad & Sons, Inc."
57368,48591,"SuNation Solar Systems, Inc."
57369,66095,Tesla Energy Operations Inc.
57370,5159-78674,Level Solar
57371,5425-102711,Kilowatt Systems LLC
57372,5321-76423,Long Island Power Solutions
57373,5122-78987,Kasselman Solar LLC
57374,5347-72356,SunRun Inc.
57375,5336-100369,Kasselman Solar LLC
57376,67751,CIR Electrical Construction Corp.
57377,5379-97085,SunPower Capital LLC
57378,5273-76771,"Green Street Power Partners, LLC"
57379,5297-72165,SunPower Capital LLC
57380,5290-38690,Amergy Solar Inc.
57381,5247-62699,"Renovus Energy, Inc"
57382,5333-76481,Renewable Rochester (dba for Viola Homes)
57383,68297,Vivint Solar Development LLC
57384,5159-80285,Level Solar
57385,5098-83039,NRG Residential Solar Solutions
57386,5194-50551,GreenLeaf Solar
57387,02056-042-1,ISI Solar
57388,02030-085-1,Hudson Valley Clean Energy
57389,69035,Tesla Energy Operations Inc.
57390,5247-61532,"Renovus Energy, Inc"
57391,5401-47807,"Safari Energy, LLC"
57392,5293-62320-GJ,Direct Energy Solar (formerly Astrum)
57393,5400-101626,SunPower Capital LLC
57394,5138-61872,Sungevity Inc
57395,5360-82816,"S&L Electric, Inc."
57396,5156-51211-GJ,Long Island Power Solutions
57397,02029-004,Bannertown Power & Light
57398,5159-71675,Level Solar
57399,5171-99622,1st Light Energy
57400,5321-96593YY,Long Island Power Solutions
57401,5171-59851,1st Light Energy
57402,5159-67714,Level Solar
57403,5245-72533,"OneRoof Energy NY, LLC"
57404,5247-66321,"Renovus Energy, Inc"
57405,5137-55222,Sungevity Development LLC
